time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15
85301;0;3350;6;-58;58;2538.751709;1;-82;-815;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;22;30;22;18;18;36;22;30;32;18;20;26;18;36;22;18
85800;0;3350;6;-58;58;2537.829834;1;-82;-815;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;18;28;18;18;16;32;22;30;32;20;22;26;20;36;26;18
86299;0;3350;6;-58;58;2541.776611;1;-82;-815;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;24;30;24;20;22;26;26;32;32;18;16;24;24;34;26;14
86798;0;3350;6;-58;58;2540.581299;1;-82;-796;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;20;30;22;18;18;24;24;30;32;20;20;26;16;36;30;18
87297;0;3350;6;-58;58;2540.745117;1;-82;-805;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;22;32;24;20;18;26;24;32;24;16;20;26;26;36;24;28
87796;0;3350;6;-58;58;2535.075439;1;-82;-823;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.6;23;18;30;18;18;16;24;22;30;22;28;20;26;24;36;28;20
88295;0;3350;6;-58;58;2533.183105;1;-82;-752;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;24;30;18;20;22;24;22;30;30;22;22;28;20;36;28;20
88794;0;3350;6;-58;58;2537.091797;1;-81;-680;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;18;30;18;18;24;24;20;30;34;18;22;24;24;34;26;18
89292;0;3350;6;-58;58;2538.871582;1;-81;-604;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;22;30;24;24;26;26;24;30;34;14;20;26;20;36;26;18
89790;0;3350;6;-58;58;2539.746094;1;-81;-604;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;24;30;28;28;24;28;28;32;34;8.0;26;26;24;40;28;24
90289;0;3350;6;-58;58;2537.939697;1;-81;-604;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.2;23;22;20;34;28;24;26;26;32;32;14;20;26;20;36;24;16
90788;0;3350;6;-58;58;2540.563232;1;-80;-604;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;22;20;34;28;18;28;26;32;32;9.8;20;26;20;36;24;16
91287;0;3350;6;-58;58;2546.974365;1;-80;-619;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.4;23;20;18;26;34;18;24;24;30;18;32;22;26;26;38;24;16
91785;0;3350;6;-58;58;2545.530762;1;-80;-619;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;18;18;24;32;22;24;22;30;18;32;22;26;22;34;24;16
92283;0;3350;6;-58;58;2541.962158;1;-80;-619;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;20;20;20;32;26;24;22;30;20;32;24;28;22;38;26;16
92782;0;3350;6;-58;58;2539.740234;1;-80;-619;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;18;18;22;32;24;24;24;32;20;32;24;26;24;34;24;16
93280;0;3350;6;-58;58;2539.433350;1;-80;-594;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.3;23;20;18;28;32;20;26;22;30;26;24;24;26;22;34;26;20
93779;0;3350;6;-58;58;2539.539307;1;-81;-671;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;20;18;32;32;20;26;26;30;16;30;16;24;22;34;22;14
94278;0;3350;6;-58;58;2538.530273;1;-81;-671;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;20;20;28;30;26;26;22;30;18;30;20;26;22;34;24;24
94776;0;3350;6;-58;58;2534.957031;1;-81;-568;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;20;18;22;32;24;24;24;30;20;32;22;26;22;34;24;18
95274;0;3350;6;-58;58;2538.173340;1;-81;-568;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;18;18;30;32;16;24;22;32;20;32;20;26;24;34;28;16
95773;0;3350;6;-58;58;2534.905029;1;-81;-568;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;16;18;28;32;18;24;22;30;24;24;24;26;24;36;26;16
96271;0;3350;6;-58;58;2541.854980;1;-80;-542;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;18;18;30;30;18;24;24;30;18;32;22;26;24;36;24;16
96770;0;3350;6;-58;58;2544.042969;1;-80;-542;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;24;18;20;32;20;24;22;30;20;32;20;26;22;34;26;14
97268;0;3350;6;-58;58;2541.842041;1;-75;-853;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;22;20;28;32;28;26;24;30;20;20;20;26;24;36;26;16
97766;0;3350;6;-58;58;2538.475098;1;-78;-612;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;18;20;26;24;20;26;24;32;22;32;22;26;24;36;24;16
98265;0;3350;6;-58;58;2534.606689;1;-79;-628;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.3;23;18;18;32;20;16;26;22;30;34;32;22;26;16;38;24;18
98764;0;3350;6;-58;58;2535.028320;1;-77;-564;0.0;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;18;18;32;18;16;24;22;30;30;30;24;26;20;34;26;14
